Open,Close,High,Low,Volume,Date
10.51,10.565,10.6225,10.47,,10/30/20
10.585,10.5175,10.6225,10.51,,10/29/20
10.8175,10.5725,10.8175,10.5675,,10/28/20
10.86,10.8225,10.94,10.8175,,10/27/20
10.87,10.8775,0,10.78,,10/26/20
10.8375,10.8725,10.8975,10.8025,,10/25/20
10.7125,10.8375,10.885,10.6575,,10/23/20
10.7225,10.7375,10.8525,10.635,,10/22/20
10.65,10.72,10.77,10.6425,,10/21/20
10.5575,10.64,10.6575,10.5125,,10/20/20
10.5125,10.5425,10.5825,10.4775,,10/19/20
10.6275,10.5,10.7075,10.4875,,10/16/20
10.575,10.6225,10.6425,10.3725,,10/15/20
10.43,10.5625,10.5975,10.3975,,10/14/20
10.34,10.44,10.46,10.325,,10/13/20
10.6525,10.3375,10.735,10.315,,10/12/20
10.5025,10.655,10.7975,10.47,,10/09/20
10.5125,10.5,10.69,10.485,,10/08/20
10.4125,10.51,10.5975,10.3725,,10/07/20
10.215,10.44,10.5375,10.2125,,10/06/20
10.1975,10.215,10.255,10.16,,10/05/20
10.24,10.2075,10.28,10.13,,10/02/20
10.2325,10.235,10.35,10.2175,,10/01/20
9.9225,10.235,10.3475,9.875,,09/30/20
9.94,9.93,9.9775,9.8575,,09/29/20
10.02,9.9625,10.075,9.915,,09/28/20
9.99,10.025,10.08,9.9525,,09/25/20
10.125,10,10.1475,9.9725,,09/24/20
10.205,10.145,10.255,10.11,,09/23/20
10.2025,10.1975,10.37,10.1325,,09/22/20
10.41,10.225,10.4525,10.205,,09/21/20
10.28,10.435,10.4675,10.2725,,09/18/20
10.115,10.285,10.3225,10.05,,09/17/20
9.91,10.1125,10.1375,9.85,,09/16/20
0,9.915,10.0575,9.9025,,09/15/20
10.1925,10.1925,10.1925,10.1925,,09/14/20
9.92,10.055,10.25,9.92,,09/11/20
9.835,9.85,9.8625,9.825,,09/10/20
9.7425,9.7975,9.795,9.7425,,09/09/20
9.7575,9.73,9.7575,9.65,,09/08/20
9.7,9.695,9.71,9.7,,09/04/20
9.625,9.6875,9.665,9.625,,09/03/20
9.515,9.625,9.62,9.475,,09/02/20
9.48,9.55,9.565,9.45,,09/01/20
9.6025,9.5125,9.67,9.5075,,08/31/20
9.3575,9.505,9.525,9.3575,,08/28/20
9.1975,9.3725,9.4375,9.195,,08/27/20
9.14,9.195,9.2025,9.14,,08/26/20
9.05,9.1375,9.1475,9.05,,08/25/20
9.01,8.9975,9.0775,8.9675,,08/24/20
9.045,9.0075,9.0775,8.995,,08/21/20
9.1175,9.03,9.14,9.005,,08/20/20
9.105,9.125,9.1775,9.0775,,08/19/20
9.12,9.12,9.1475,9.08,,08/18/20
8.995,9.125,9.15,8.99,,08/17/20
9.03,8.97,9.03,9.03,,08/14/20
8.9475,9.0725,9.105,8.9475,,08/13/20
8.8075,8.905,8.8725,8.78,,08/12/20
8.785,8.78,8.795,8.78,,08/11/20
8.695,8.765,8.7825,8.695,,08/10/20
8.78,8.7025,8.7875,8.71,,08/07/20
8.82,8.8075,8.86,8.8,,08/06/20
8.84,8.82,8.84,8.8,,08/05/20
8.935,8.8375,8.935,8.81,,08/04/20
8.985,8.975,9.03,8.93,,08/03/20
8.935,8.975,8.9925,8.935,,07/31/20
8.91,8.9175,8.935,8.8425,,07/30/20
8.9675,8.915,8.98,8.915,,07/29/20
9.03,8.9675,9.03,8.93,,07/28/20
9.04,9.065,9.0925,9.015,,07/27/20
9.06,9.0475,9.1,9.015,,07/24/20
8.9875,9.0625,9.07,8.975,,07/23/20
8.965,8.9925,9.0125,8.92,,07/22/20
9.025,8.965,9.025,8.95,,07/21/20
8.985,9.03,9.055,8.97,,07/20/20
8.9325,8.98,8.9875,8.9275,,07/17/20
8.875,8.935,8.96,8.8675,,07/16/20
0,8.8625,8.875,8.775,,07/15/20
0,8.8225,0,0,,07/14/20
8.88,8.765,8.8875,8.84,,07/13/20
8.985,8.915,9.0075,8.8875,,07/10/20
9.03,8.9825,9.07,8.995,,07/09/20
8.9125,8.9475,8.9875,8.9125,,07/08/20
8.94,8.9525,8.9925,8.94,,07/07/20
8.975,8.985,9.015,8.97,,07/06/20
8.9375,8.925,8.98,8.9025,,07/02/20
8.8375,8.9375,8.985,8.8325,,07/01/20
8.65,8.8425,8.91,8.64,,06/30/20
8.64,8.665,8.695,8.6,,06/29/20
8.69,8.65,8.7175,8.6275,,06/26/20
8.705,8.6925,8.715,8.6175,,06/25/20
8.755,8.7075,8.775,8.7,,06/24/20
8.7675,8.75,8.79,8.65,,06/23/20
8.7525,8.7625,8.7975,8.725,,06/22/20
8.73,8.765,8.805,8.715,,06/19/20
8.71,8.73,8.765,8.7,,06/18/20
8.665,8.7125,8.7575,8.6,,06/17/20
8.7075,8.67,8.73,8.6475,,06/16/20
8.705,8.69,8.7175,8.6425,,06/15/20
8.665,8.7125,8.73,8.635,,06/12/20
8.65,8.66,8.695,8.61,,06/11/20
8.6325,8.655,8.6925,8.63,,06/10/20
8.64,8.6325,8.665,8.565,,06/09/20
8.6925,8.6475,8.715,8.6175,,06/08/20
8.68,8.6775,8.735,8.6525,,06/05/20
8.57,8.6775,8.7325,8.5525,,06/04/20
8.5175,8.575,8.58,8.5125,,06/03/20
8.4,8.505,8.56,8.385,,06/02/20
8.435,8.405,8.49,8.34,,06/01/20
8.46,8.4075,8.46,8.37,,05/29/20
8.485,8.47,8.5225,8.3875,,05/28/20
8.48,8.485,8.5125,8.435,,05/27/20
8.325,8.47,8.49,8.3225,,05/26/20
8.3525,8.3325,8.395,8.285,,05/22/20
8.4675,8.35,8.485,8.3375,,05/21/20
8.42,8.4675,8.495,8.42,,05/20/20
8.46,8.425,8.485,8.3925,,05/19/20
8.405,8.45,8.4775,8.3875,,05/18/20
0,8.385,8.43,8.365,,05/15/20
8.37,8.3525,8.37,8.37,,05/14/20
8.4175,8.36,8.4225,8.3875,,05/13/20
8.5275,8.4925,8.5475,8.475,,05/12/20
8.57,8.5225,8.57,8.515,,05/11/20
8.42,8.4875,8.5625,8.42,,05/08/20
8.3425,8.415,8.4525,8.31,,05/07/20
8.3825,8.305,8.3825,8.295,,05/06/20
8.3325,8.3825,8.38,8.325,,05/05/20
8.435,8.34,8.435,8.31,,05/04/20
8.4975,8.4725,8.5075,8.4275,,05/01/20
8.3375,8.5025,8.51,8.3375,,04/30/20
8.255,8.3175,8.35,8.2475,,04/29/20
8.295,8.26,8.355,8.225,,04/28/20
8.3125,8.29,8.3875,8.2725,,04/27/20
8.4,8.3225,8.4375,8.275,,04/24/20
8.3475,8.3925,8.4875,8.3375,,04/23/20
8.3125,8.3475,8.39,8.27,,04/22/20
8.26,8.3075,8.335,8.0825,,04/21/20
8.335,8.265,8.3575,8.245,,04/20/20
8.3925,8.325,8.4275,8.3175,,04/17/20
8.4075,8.3675,8.4675,8.3525,,04/16/20
8.475,8.42,8.525,8.3875,,04/15/20
