Open,Close,High,Low,Volume,Date
205,205.25,206.25,204,,10/30/20
202.5,205,205.25,202,,10/29/20
204,204,204.75,202.5,,10/28/20
208.25,205.75,208.75,205.25,,10/27/20
209,207.25,214,206.5,,10/26/20
209.25,209.75,210.75,208.75,,10/23/20
210.25,209,211,208.75,,10/22/20
211.25,211.25,213.25,211,,10/21/20
212.5,211.25,214,210.25,,10/20/20
210.5,211.75,212,208.75,,10/19/20
207.5,209,209.5,206.25,,10/16/20
204.5,206.75,207.25,204,,10/15/20
203,203.5,204,201.25,,10/14/20
201.75,202.75,203.5,201.5,,10/13/20
199.75,200.75,201.75,175.25,,10/12/20
199.75,200.25,200.75,198,,10/09/20
201.5,199,202.25,198.25,,10/08/20
200.75,200.5,202.25,199.5,,10/07/20
197.5,200,201,197.25,,10/06/20
198.25,197.75,198.5,197,,10/05/20
196.5,196.75,197,194.5,,10/02/20
197.75,197,198.5,196.5,,10/01/20
192.75,197.75,198.25,175.25,,09/30/20
192.5,192.25,193.75,192,,09/29/20
191.75,193.25,193.5,191,,09/28/20
192,192.25,193,175.25,,09/25/20
193,192.25,193.25,191.5,,09/24/20
194.25,194,195,193.5,,09/23/20
193.25,194.75,195.75,193,,09/22/20
193.5,193.25,195,193,,09/21/20
193,194.5,194.75,192,,09/18/20
188.5,191.75,192.25,188.25,,09/17/20
186.5,188,188.25,175.25,,09/16/20
188.75,186.75,189,186.5,,09/15/20
188.75,188.75,189.5,188.25,,09/14/20
190,188.5,199,188.25,,09/11/20
191.5,190,192,186.75,,09/10/20
187.75,191,191.5,186.5,,09/09/20
187.75,187.75,188,186.5,,09/08/20
189.75,187.75,190,187,,09/07/20
189.75,189.25,190,189,,09/04/20
192.5,189.75,194,188.5,,09/03/20
190,192.5,192.5,189.5,,09/02/20
188,190,190.25,187.25,,09/01/20
188.75,187.75,189.75,187.25,,08/31/20
188,188,188.75,187.25,,08/28/20
186.5,188.5,188.5,186.25,,08/27/20
186.75,186,195.5,185,,08/26/20
186,186.5,187,185.75,,08/25/20
185.25,185.75,187,172,,08/24/20
182.25,186.25,186.75,172,,08/21/20
182,181.25,182.75,181,,08/20/20
183.75,182.25,184.25,180.75,,08/19/20
184.25,183,184.75,182.75,,08/18/20
182.5,184.75,185,181.25,,08/17/20
178.25,180.75,182.5,177.5,,08/14/20
178,178.25,178.75,177.25,,08/13/20
177.25,177.5,178,177,,08/12/20
176.75,177.75,178.25,172,,08/11/20
177.75,177,178.25,176.75,,08/10/20
179.25,178,179.5,178,,08/07/20
178.75,179.25,180.5,172,,08/06/20
179.75,179.25,180.75,179,,08/05/20
180.25,179.75,180.5,179.25,,08/04/20
