Open,Close,High,Low,Volume,Date
9.3925,9.43,9.435,9.3375,,12/31/19
9.29,9.395,9.41,9.2725,,12/30/19
9.3725,9.295,9.415,9.2875,,12/27/19
9.3775,9.3775,9.4,9.3675,,12/26/19
9.33,9.365,9.375,9.29,,12/24/19
9.29,9.34,9.37,9.275,,12/23/19
9.25,9.2825,9.3,9.24,,12/20/19
9.2675,9.245,9.2925,9.2125,,12/19/19
9.28,9.285,9.3,9.23,,12/18/19
9.2125,9.2875,9.31,9.2025,,12/17/19
9.125,9.22,9.2275,9.125,,12/16/19
9.06,9.075,9.17,9.015,,12/13/19
8.93,8.9825,9.0175,8.8825,,12/12/19
8.9875,8.935,9.02,8.92,,12/11/19
8.975,9.0125,9.0225,8.9625,,12/10/19
8.9175,8.9725,9.035,8.8975,,12/09/19
8.8475,8.895,8.94,8.845,,12/06/19
8.78,8.8425,8.8875,8.7725,,12/05/19
8.7225,8.78,8.8,8.715,,12/04/19
8.735,8.71,8.7575,8.6825,,12/03/19
8.7775,8.705,8.83,8.675,,12/02/19
8.8325,8.7675,8.8475,8.7575,,11/29/19
8.8475,8.82,8.875,8.8125,,11/27/19
8.9275,8.8425,8.95,8.8275,,11/26/19
8.98,8.925,9.025,8.92,,11/25/19
9.005,8.97,9.035,8.955,,11/22/19
9.0525,9.01,9.0925,9.0025,,11/21/19
9.105,9.05,9.1575,9.0425,,11/20/19
9.105,9.115,9.17,9.1,,11/19/19
9.19,9.1025,9.2175,9.1,,11/18/19
0,9.1825,9.235,9.1525,,11/15/19
9.0075,9.0025,9.0175,9.005,,11/14/19
9.065,9.025,9.0925,9.02,,11/13/19
9.06,9.0575,9.0925,9.05,,11/12/19
9.06,9.05,9.06,9.06,,11/11/19
9.165,9.155,9.1725,9.1375,,11/10/19
9.245,9.195,9.2625,9.1575,,11/08/19
9.165,9.25,9.27,9.15,,11/07/19
9.2225,9.15,9.2225,9.1425,,11/06/19
9.2525,9.2175,9.2875,9.2,,11/05/19
9.2325,9.2575,9.2975,9.21,,11/04/19
9.155,9.2425,9.265,9.15,,11/01/19
9.1575,9.1675,9.2025,9.105,,10/31/19
9.1775,9.16,9.215,9.1525,,10/30/19
9.21,9.1825,9.2525,9.16,,10/29/19
9.215,9.2075,9.26,9.2025,,10/28/19
9.335,9.2025,9.3725,9.195,,10/25/19
9.3375,9.3325,9.39,9.3275,,10/24/19
9.34,9.3375,9.39,9.2775,,10/23/19
9.325,9.34,9.4525,9.31,,10/22/19
9.3075,9.3325,9.4,9.3025,,10/21/19
9.31,9.34,9.385,9.305,,10/18/19
9.28,9.315,9.4075,9.2725,,10/17/19
9.33,9.28,9.3875,9.275,,10/16/19
9.3875,9.34,9.4425,9.3325,,10/15/19
9.405,9.405,9.455,9.305,,10/14/19
9.2375,9.36,9.3925,9.235,,10/11/19
9.195,9.235,9.34,9.1875,,10/10/19
9.185,9.2375,9.315,9.1825,,10/09/19
9.15,9.205,9.2375,9.105,,10/08/19
9.165,9.1525,9.195,9.115,,10/07/19
9.11,9.1625,9.2125,9.095,,10/04/19
9.13,9.1175,9.185,9.08,,10/03/19
9.1725,9.1375,9.1875,9.1175,,10/02/19
9.04,9.195,9.2,9.0325,,10/01/19
8.8475,9.06,9.0675,8.8375,,09/30/19
8.8775,8.83,8.8925,8.815,,09/27/19
8.88,8.885,8.955,8.8675,,09/26/19
8.94,8.8925,8.9775,8.8525,,09/25/19
8.925,8.9425,8.99,8.905,,09/24/19
8.8275,8.925,8.9925,8.8275,,09/23/19
8.93,8.8275,8.935,8.8075,,09/20/19
8.8925,8.93,8.95,8.8625,,09/19/19
8.9525,8.8875,8.97,8.8675,,09/18/19
9,8.9375,9,8.8825,,09/17/19
9.0325,9,9.0475,8.9425,,09/16/19
8.9,8.8475,8.9025,8.885,,09/13/19
8.6275,8.83,8.75,8.6275,,09/12/19
8.5375,8.54,8.5375,8.515,,09/11/19
8.4725,8.5925,8.5225,8.455,,09/10/19
8.43,8.45,8.4775,8.3975,,09/09/19
8.535,8.45,8.535,8.4475,,09/06/19
8.63,8.4975,8.63,8.4675,,09/05/19
8.565,8.625,8.6375,8.525,,09/04/19
8.555,8.565,8.5625,8.4875,,09/03/19
