Open,Close,High,Low,Volume,Date
189.25,188.75,189.5,188.5,,12/31/19
189.25,189,189.75,188.5,,12/30/19
188,189,189.25,187.75,,12/27/19
186.75,187.25,187.5,186.5,,12/24/19
186.5,187,187,186.25,,12/23/19
185.75,186.25,186.5,185.5,,12/20/19
185.5,186,186.75,185.25,,12/19/19
185.5,185.25,186.25,185,,12/18/19
186,186,186.25,185.25,,12/17/19
184.5,186.5,187,184,,12/16/19
183.5,183.25,184.5,183,,12/13/19
182,183.25,183.5,181.75,,12/12/19
182.75,182,183.5,181.75,,12/11/19
183,180,183,180,,12/10/19
185.5,185.25,186,185.25,,12/09/19
184.5,185.75,186,184.25,,12/06/19
185.5,184.5,186,184.25,,12/05/19
185.5,185.25,186,185.25,,12/04/19
187,186.5,187.75,184.25,,12/03/19
185.25,186.25,187.25,185.25,,12/02/19
183.25,185.5,185.5,182.25,,11/29/19
181.75,183.25,183.5,181.25,,11/28/19
182.25,182,183.25,181.75,,11/27/19
181.25,182,182,180.5,,11/26/19
180,181.5,181.5,180,,11/25/19
179.5,179.5,180,179.25,,11/22/19
179.5,179.25,180,179,,11/21/19
180,180,180.25,179.5,,11/20/19
178,180.25,180.5,177.5,,11/19/19
177.25,178,178.25,177,,11/18/19
177.75,177.25,177.75,177,,11/15/19
177.75,177.5,178.5,177.25,,11/14/19
178.25,177.5,178.5,177.5,,11/13/19
177.25,178.25,178.75,177,,11/12/19
177.5,177.25,178,177,,11/11/19
178,178.5,179,177.5,,11/08/19
179,178.25,179.25,177.25,,11/07/19
177.75,178.5,179.25,177.5,,11/06/19
177,177.75,178.5,176.75,,11/05/19
178,176.75,178,176.5,,11/04/19
178.25,178,178.75,177.75,,11/01/19
178.75,178,179,177.5,,10/31/19
179.5,179,179.75,178.75,,10/30/19
179.75,179.5,180.75,179.25,,10/29/19
180.25,179.25,180.25,179,,10/28/19
180,181,181,178.75,,10/25/19
181,180,181.25,179.75,,10/24/19
181.25,181,181.5,180.25,,10/23/19
181.5,181,182.25,181,,10/22/19
181.25,180.75,182.25,180.5,,10/21/19
181,181.25,181.5,179.5,,10/18/19
180.5,181.25,181.75,180.25,,10/17/19
178.75,180,180.25,178.5,,10/16/19
180,178.25,180.5,177.75,,10/15/19
180.5,180.25,181,179,,10/14/19
177.5,180,180.25,177.25,,10/11/19
178.75,177,179,176.75,,10/10/19
177.75,178.75,179,177.25,,10/09/19
176,178,178.25,175.75,,10/08/19
176,176.5,176.75,175.5,,10/07/19
176.25,176.25,176.5,175.5,,10/04/19
174.75,176.25,176.5,174.5,,10/03/19
175.25,174.5,176.25,174.25,,10/02/19
175.5,175.25,176,174.5,,10/01/19
174,174.75,175,173.5,,09/30/19
173,174,174.5,173,,09/27/19
171.25,173,173.25,171.25,,09/26/19
170.5,170.75,171.25,170.25,,09/25/19
171,170.25,171.5,170.25,,09/24/19
171.75,171.75,172.25,171.5,,09/23/19
171.75,171.25,172.25,171,,09/20/19
171.25,171.75,172.5,171,,09/19/19
171.5,171.5,172,170.5,,09/18/19
171.5,171,171.5,170.5,,09/17/19
170.25,171.75,172,169.5,,09/16/19
169,170.25,171.75,169,,09/13/19
169.5,169.5,170.25,167.75,,09/12/19
170,169.25,170.25,169,,09/11/19
153,157.5,158,153,,09/10/19
158.25,153,158.5,151.25,,09/09/19
158,158.5,159,158,,09/06/19
158.25,159,159.75,158.25,,09/05/19
161.5,158.25,161.75,157.75,,09/04/19
163.5,161,164.5,160.5,,09/03/19
165,163.75,165,163.25,,09/02/19
165,164.25,165.25,163.75,,08/30/19
166.25,165.75,166.25,165.5,,08/29/19
167,166,167,165.5,,08/28/19
166.25,167,167.5,165.5,,08/27/19
165,166.25,167,165,,08/26/19
165.5,165.5,166.25,165.25,,08/23/19
165,165.75,165.75,164.5,,08/22/19
165.5,165,165.75,164.25,,08/21/19
165.75,165.5,166.75,165,,08/20/19
166.75,165.75,167.5,165.75,,08/19/19
168,168,168.5,167.75,,08/16/19
166.75,168,168.25,166.5,,08/15/19
167,166.75,168,166.25,,08/14/19
167.25,166.25,167.75,166,,08/13/19
170,167.25,171,166.75,,08/12/19
169.75,170.5,171.5,169.75,,08/09/19
170,170,170.75,168.25,,08/08/19
171.25,170,171.25,169.5,,08/07/19
172.75,170.75,173,170.5,,08/06/19
172.5,172.75,173.25,172,,08/05/19
173.25,173.25,173.75,173,,08/02/19
175.25,173,175.25,173,,08/01/19
176.5,174.75,176.75,174.5,,07/31/19
175.5,177,177,175.25,,07/30/19
175.75,175.75,176.75,175,,07/29/19
